,0,1,2,3,4,5,6,7,8
10594,great_pret,improper,completed,1,convenient,inconv,nonprob,priority,spec_prior
12573,great_pret,very_crit,incomplete,1,critical,inconv,nonprob,recommended,spec_prior
6659,pretentious,improper,incomplete,more,convenient,inconv,problematic,not_recom,not_recom
10414,great_pret,improper,complete,1,critical,inconv,nonprob,priority,spec_prior
8544,pretentious,very_crit,foster,3,convenient,inconv,slightly_prob,recommended,spec_prior
845,usual,proper,foster,more,less_conv,inconv,problematic,not_recom,not_recom
653,usual,proper,foster,1,convenient,convenient,slightly_prob,not_recom,not_recom
5679,pretentious,less_proper,incomplete,2,convenient,inconv,nonprob,recommended,priority
4679,pretentious,proper,completed,3,less_conv,inconv,problematic,not_recom,not_recom
1713,usual,less_proper,foster,more,critical,convenient,slightly_prob,recommended,priority
3753,usual,very_crit,completed,2,less_conv,inconv,nonprob,recommended,priority
3464,usual,very_crit,complete,1,convenient,convenient,problematic,not_recom,not_recom
7986,pretentious,very_crit,complete,more,critical,inconv,slightly_prob,recommended,spec_prior
12366,great_pret,very_crit,completed,2,convenient,convenient,nonprob,recommended,priority
1593,usual,less_proper,foster,2,less_conv,inconv,nonprob,recommended,priority
6442,pretentious,improper,completed,more,convenient,inconv,problematic,priority,spec_prior
7539,pretentious,critical,incomplete,more,less_conv,inconv,problematic,recommended,spec_prior
2689,usual,critical,complete,2,critical,convenient,problematic,priority,spec_prior
2737,usual,critical,complete,3,critical,convenient,nonprob,priority,spec_prior
5091,pretentious,proper,foster,3,convenient,inconv,problematic,recommended,priority
13,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,priority
7388,pretentious,critical,incomplete,1,critical,convenient,problematic,not_recom,not_recom
2221,usual,improper,incomplete,2,convenient,convenient,problematic,priority,priority
2553,usual,improper,foster,more,convenient,inconv,problematic,recommended,priority
8205,pretentious,very_crit,completed,more,critical,inconv,problematic,recommended,spec_prior
5003,pretentious,proper,foster,1,less_conv,inconv,problematic,not_recom,not_recom
5193,pretentious,less_proper,complete,1,convenient,inconv,nonprob,recommended,very_recom
4845,pretentious,proper,incomplete,2,critical,convenient,slightly_prob,recommended,priority
768,usual,proper,foster,3,convenient,inconv,slightly_prob,recommended,priority
2500,usual,improper,foster,3,convenient,inconv,problematic,priority,priority
11009,great_pret,improper,incomplete,more,critical,inconv,nonprob,not_recom,not_recom
11888,great_pret,critical,foster,1,convenient,convenient,problematic,not_recom,not_recom
3377,usual,critical,foster,3,less_conv,inconv,nonprob,not_recom,not_recom
12924,great_pret,very_crit,foster,more,less_conv,convenient,nonprob,recommended,spec_prior
6520,pretentious,improper,incomplete,1,critical,convenient,slightly_prob,priority,spec_prior
2078,usual,improper,completed,3,less_conv,convenient,problematic,not_recom,not_recom
6857,pretentious,improper,foster,3,critical,inconv,problematic,not_recom,not_recom
10406,great_pret,improper,complete,1,critical,convenient,nonprob,not_recom,not_recom
3427,usual,critical,foster,more,less_conv,convenient,problematic,priority,spec_prior
4025,usual,very_crit,incomplete,3,less_conv,inconv,nonprob,not_recom,not_recom
10740,great_pret,improper,completed,3,critical,inconv,slightly_prob,recommended,spec_prior
2732,usual,critical,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recom
10260,great_pret,less_proper,foster,3,convenient,convenient,nonprob,recommended,priority
6357,pretentious,improper,completed,2,critical,convenient,slightly_prob,recommended,priority
7490,pretentious,critical,incomplete,3,critical,convenient,nonprob,not_recom,not_recom
8997,great_pret,proper,completed,3,less_conv,inconv,problematic,recommended,spec_prior
1900,usual,improper,complete,more,convenient,inconv,nonprob,priority,priority
10481,great_pret,improper,complete,3,convenient,convenient,slightly_prob,not_recom,not_recom
12042,great_pret,critical,foster,more,convenient,convenient,nonprob,recommended,priority
9393,great_pret,proper,foster,2,critical,inconv,problematic,recommended,spec_prior
5766,pretentious,less_proper,incomplete,3,critical,convenient,problematic,recommended,priority
8729,great_pret,proper,complete,2,less_conv,inconv,problematic,not_recom,not_recom
8254,pretentious,very_crit,incomplete,1,critical,inconv,nonprob,priority,spec_prior
7218,pretentious,critical,completed,2,critical,convenient,nonprob,recommended,spec_prior
8887,great_pret,proper,completed,1,less_conv,inconv,slightly_prob,priority,priority
9471,great_pret,proper,foster,more,less_conv,convenient,slightly_prob,recommended,priority
3066,usual,critical,incomplete,1,critical,convenient,problematic,recommended,spec_prior
150,usual,proper,complete,3,critical,convenient,problematic,recommended,priority
5404,pretentious,less_proper,completed,1,convenient,convenient,slightly_prob,priority,priority
231,usual,proper,completed,1,convenient,inconv,problematic,recommended,priority
5794,pretentious,less_proper,incomplete,more,convenient,inconv,problematic,priority,priority
3002,usual,critical,completed,more,less_conv,inconv,slightly_prob,not_recom,not_recom
6039,pretentious,less_proper,foster,more,critical,inconv,nonprob,recommended,priority
8774,great_pret,proper,complete,3,less_conv,convenient,problematic,not_recom,not_recom
12057,great_pret,critical,foster,more,convenient,inconv,problematic,recommended,spec_prior
9356,great_pret,proper,foster,2,convenient,inconv,slightly_prob,not_recom,not_recom
964,usual,less_proper,complete,2,critical,inconv,nonprob,priority,priority
12755,great_pret,very_crit,foster,1,convenient,inconv,nonprob,not_recom,not_recom
3691,usual,very_crit,completed,1,less_conv,convenient,nonprob,priority,spec_prior
8847,great_pret,proper,complete,more,critical,inconv,nonprob,recommended,priority
11842,great_pret,critical,incomplete,more,convenient,inconv,problematic,priority,spec_prior
11995,great_pret,critical,foster,3,convenient,convenient,problematic,priority,spec_prior
3346,usual,critical,foster,2,critical,inconv,problematic,priority,spec_prior
11131,great_pret,improper,foster,3,convenient,convenient,problematic,priority,spec_prior
12065,great_pret,critical,foster,more,less_conv,convenient,slightly_prob,not_recom,not_recom
2642,usual,critical,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
4746,pretentious,proper,completed,more,critical,inconv,slightly_prob,recommended,priority
6587,pretentious,improper,incomplete,2,critical,inconv,problematic,not_recom,not_recom
10053,great_pret,less_proper,incomplete,3,convenient,inconv,nonprob,recommended,priority
6646,pretentious,improper,incomplete,more,convenient,convenient,slightly_prob,priority,priority
12694,great_pret,very_crit,incomplete,more,convenient,convenient,slightly_prob,priority,spec_prior
469,usual,proper,incomplete,1,critical,convenient,nonprob,priority,priority
5711,pretentious,less_proper,incomplete,2,critical,convenient,slightly_prob,not_recom,not_recom
12545,great_pret,very_crit,incomplete,1,convenient,inconv,problematic,not_recom,not_recom
11805,great_pret,critical,incomplete,3,less_conv,inconv,problematic,recommended,spec_prior
11388,great_pret,critical,complete,3,critical,inconv,slightly_prob,recommended,spec_prior
3851,usual,very_crit,completed,more,convenient,inconv,problematic,not_recom,not_recom
6180,pretentious,improper,complete,3,less_conv,convenient,problematic,recommended,spec_prior
6473,pretentious,improper,completed,more,critical,inconv,nonprob,not_recom,not_recom
10029,great_pret,less_proper,incomplete,2,critical,convenient,slightly_prob,recommended,priority
9605,great_pret,less_proper,complete,2,critical,inconv,nonprob,not_recom,not_recom
12402,great_pret,very_crit,completed,2,critical,convenient,nonprob,recommended,spec_prior
5980,pretentious,less_proper,foster,3,critical,convenient,slightly_prob,priority,priority
11773,great_pret,critical,incomplete,3,convenient,convenient,nonprob,priority,spec_prior
1532,usual,less_proper,foster,1,less_conv,convenient,nonprob,not_recom,not_recom
8440,pretentious,very_crit,foster,1,convenient,inconv,problematic,priority,spec_prior
7469,pretentious,critical,incomplete,3,convenient,inconv,problematic,not_recom,not_recom
9208,great_pret,proper,incomplete,3,less_conv,inconv,nonprob,priority,spec_prior
660,usual,proper,foster,1,convenient,inconv,slightly_prob,recommended,priority
3324,usual,critical,foster,2,less_conv,inconv,slightly_prob,recommended,priority
27,usual,proper,complete,1,less_conv,inconv,nonprob,recommended,very_recom
8100,pretentious,very_crit,completed,3,convenient,convenient,nonprob,recommended,priority
2771,usual,critical,complete,more,convenient,inconv,problematic,not_recom,not_recom
3547,usual,very_crit,complete,2,critical,convenient,nonprob,priority,spec_prior
2020,usual,improper,completed,2,less_conv,convenient,slightly_prob,priority,priority
604,usual,proper,incomplete,more,convenient,inconv,nonprob,priority,priority
3228,usual,critical,incomplete,more,critical,convenient,problematic,recommended,spec_prior
2912,usual,critical,completed,2,critical,inconv,slightly_prob,not_recom,not_recom
2806,usual,critical,complete,more,critical,inconv,problematic,priority,spec_prior
9100,great_pret,proper,incomplete,1,less_conv,inconv,nonprob,priority,priority
10466,great_pret,improper,complete,2,critical,convenient,problematic,not_recom,not_recom
78,usual,proper,complete,2,less_conv,convenient,problematic,recommended,priority
731,usual,proper,foster,2,less_conv,inconv,nonprob,not_recom,not_recom
7170,pretentious,critical,completed,1,critical,convenient,problematic,recommended,spec_prior
12939,great_pret,very_crit,foster,more,less_conv,inconv,problematic,recommended,spec_prior
11486,great_pret,critical,completed,1,critical,convenient,nonprob,not_recom,not_recom
2764,usual,critical,complete,more,convenient,inconv,nonprob,priority,spec_prior
6505,pretentious,improper,incomplete,1,less_conv,convenient,problematic,priority,priority
4624,pretentious,proper,completed,2,less_conv,inconv,problematic,priority,priority
6915,pretentious,critical,complete,1,convenient,convenient,slightly_prob,recommended,priority
2434,usual,improper,foster,2,convenient,convenient,slightly_prob,priority,priority
4703,pretentious,proper,completed,more,convenient,convenient,slightly_prob,not_recom,not_recom
5831,pretentious,less_proper,incomplete,more,critical,inconv,problematic,not_recom,not_recom
9077,great_pret,proper,incomplete,1,convenient,convenient,slightly_prob,not_recom,not_recom
93,usual,proper,complete,2,critical,convenient,slightly_prob,recommended,priority
10440,great_pret,improper,complete,2,less_conv,convenient,nonprob,recommended,priority
7382,pretentious,critical,incomplete,1,critical,convenient,nonprob,not_recom,not_recom
2904,usual,critical,completed,2,critical,convenient,problematic,recommended,spec_prior
991,usual,less_proper,complete,3,less_conv,convenient,nonprob,priority,priority
7120,pretentious,critical,complete,more,critical,inconv,nonprob,priority,spec_prior
7987,pretentious,very_crit,complete,more,critical,inconv,slightly_prob,priority,spec_prior
10101,great_pret,less_proper,incomplete,more,convenient,convenient,slightly_prob,recommended,priority
7009,pretentious,critical,complete,2,critical,convenient,problematic,priority,spec_prior
607,usual,proper,incomplete,more,convenient,inconv,slightly_prob,priority,priority
3165,usual,critical,incomplete,3,less_conv,inconv,problematic,recommended,spec_prior
5213,pretentious,less_proper,complete,1,less_conv,inconv,nonprob,not_recom,not_recom
6534,pretentious,improper,incomplete,2,convenient,convenient,nonprob,recommended,priority
8277,pretentious,very_crit,incomplete,2,convenient,inconv,problematic,recommended,spec_prior
9586,great_pret,less_proper,complete,2,less_conv,inconv,nonprob,priority,priority
9450,great_pret,proper,foster,more,convenient,convenient,nonprob,recommended,priority
465,usual,proper,incomplete,1,less_conv,inconv,problematic,recommended,priority
605,usual,proper,incomplete,more,convenient,inconv,nonprob,not_recom,not_recom
6619,pretentious,improper,incomplete,3,less_conv,inconv,slightly_prob,priority,spec_prior
7725,pretentious,critical,foster,more,convenient,convenient,slightly_prob,recommended,priority
9827,great_pret,less_proper,completed,2,critical,inconv,problematic,not_recom,not_recom
171,usual,proper,complete,more,convenient,inconv,nonprob,recommended,priority
9541,great_pret,less_proper,complete,1,critical,convenient,nonprob,priority,priority
12380,great_pret,very_crit,completed,2,convenient,inconv,slightly_prob,not_recom,not_recom
1441,usual,less_proper,incomplete,3,critical,convenient,nonprob,priority,priority
6879,pretentious,improper,foster,more,less_conv,convenient,slightly_prob,recommended,priority
9087,great_pret,proper,incomplete,1,convenient,inconv,problematic,recommended,priority
4221,usual,very_crit,foster,3,convenient,inconv,nonprob,recommended,spec_prior
7163,pretentious,critical,completed,1,less_conv,inconv,problematic,not_recom,not_recom
3229,usual,critical,incomplete,more,critical,convenient,problematic,priority,spec_prior
3857,usual,very_crit,completed,more,less_conv,convenient,slightly_prob,not_recom,not_recom
9595,great_pret,less_proper,complete,2,critical,convenient,nonprob,priority,spec_prior
8298,pretentious,very_crit,incomplete,2,critical,convenient,nonprob,recommended,spec_prior
11327,great_pret,critical,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
5954,pretentious,less_proper,foster,3,convenient,inconv,slightly_prob,not_recom,not_recom
343,usual,proper,completed,3,less_conv,convenient,nonprob,priority,priority
591,usual,proper,incomplete,3,critical,inconv,problematic,recommended,priority
282,usual,proper,completed,2,convenient,inconv,slightly_prob,recommended,very_recom
7209,pretentious,critical,completed,2,less_conv,inconv,nonprob,recommended,priority
12397,great_pret,very_crit,completed,2,less_conv,inconv,slightly_prob,priority,spec_prior
2252,usual,improper,incomplete,2,critical,convenient,nonprob,not_recom,not_recom
7820,pretentious,very_crit,complete,1,critical,convenient,problematic,not_recom,not_recom
3330,usual,critical,foster,2,critical,convenient,nonprob,recommended,priority
12254,great_pret,very_crit,complete,3,critical,inconv,slightly_prob,not_recom,not_recom
10712,great_pret,improper,completed,3,less_conv,convenient,nonprob,not_recom,not_recom
2150,usual,improper,completed,more,critical,convenient,problematic,not_recom,not_recom
1582,usual,less_proper,foster,2,convenient,inconv,problematic,priority,priority
1966,usual,improper,completed,1,less_conv,convenient,slightly_prob,priority,priority
12921,great_pret,very_crit,foster,more,convenient,inconv,problematic,recommended,spec_prior
10330,great_pret,less_proper,foster,more,convenient,inconv,problematic,priority,spec_prior
2141,usual,improper,completed,more,less_conv,inconv,problematic,not_recom,not_recom
6598,pretentious,improper,incomplete,3,convenient,inconv,nonprob,priority,spec_prior
12896,great_pret,very_crit,foster,3,critical,convenient,problematic,not_recom,not_recom
5339,pretentious,less_proper,complete,3,critical,inconv,nonprob,not_recom,not_recom
12121,great_pret,very_crit,complete,1,less_conv,convenient,problematic,priority,spec_prior
3445,usual,critical,foster,more,critical,convenient,problematic,priority,spec_prior
8857,great_pret,proper,completed,1,convenient,convenient,nonprob,priority,priority
4092,usual,very_crit,incomplete,more,critical,convenient,problematic,recommended,spec_prior
2866,usual,critical,completed,2,convenient,convenient,slightly_prob,priority,priority
7266,pretentious,critical,completed,3,less_conv,inconv,slightly_prob,recommended,spec_prior
2198,usual,improper,incomplete,1,critical,convenient,nonprob,not_recom,not_recom
5506,pretentious,less_proper,completed,2,critical,inconv,problematic,priority,priority
4413,pretentious,proper,complete,2,critical,convenient,slightly_prob,recommended,priority
10602,great_pret,improper,completed,1,less_conv,convenient,nonprob,recommended,priority
3685,usual,very_crit,completed,1,convenient,inconv,slightly_prob,priority,spec_prior
1428,usual,less_proper,incomplete,3,less_conv,convenient,problematic,recommended,priority
3600,usual,very_crit,complete,3,critical,convenient,nonprob,recommended,spec_prior
3133,usual,critical,incomplete,3,convenient,convenient,nonprob,priority,priority
2794,usual,critical,complete,more,critical,convenient,slightly_prob,priority,spec_prior
6720,pretentious,improper,foster,1,less_conv,convenient,problematic,recommended,spec_prior
10395,great_pret,improper,complete,1,less_conv,inconv,nonprob,recommended,priority
10964,great_pret,improper,incomplete,more,convenient,convenient,nonprob,not_recom,not_recom
6935,pretentious,critical,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
4912,pretentious,proper,incomplete,3,critical,inconv,problematic,priority,priority
1474,usual,less_proper,incomplete,more,convenient,inconv,problematic,priority,priority
9350,great_pret,proper,foster,2,convenient,convenient,problematic,not_recom,not_recom
12314,great_pret,very_crit,completed,1,convenient,convenient,nonprob,not_recom,not_recom
3265,usual,critical,foster,1,less_conv,convenient,problematic,priority,spec_prior
7354,pretentious,critical,incomplete,1,convenient,inconv,nonprob,priority,spec_prior
10533,great_pret,improper,complete,more,convenient,convenient,slightly_prob,recommended,priority
8236,pretentious,very_crit,incomplete,1,less_conv,inconv,nonprob,priority,spec_prior
8977,great_pret,proper,completed,3,convenient,inconv,slightly_prob,priority,spec_prior
8204,pretentious,very_crit,completed,more,critical,inconv,slightly_prob,not_recom,not_recom
8054,pretentious,very_crit,completed,2,convenient,convenient,problematic,not_recom,not_recom
12910,great_pret,very_crit,foster,more,convenient,convenient,slightly_prob,priority,spec_prior
6414,pretentious,improper,completed,3,critical,convenient,problematic,recommended,spec_prior
11360,great_pret,critical,complete,3,less_conv,convenient,nonprob,not_recom,not_recom
2447,usual,improper,foster,2,convenient,inconv,problematic,not_recom,not_recom
6882,pretentious,improper,foster,more,less_conv,convenient,problematic,recommended,spec_prior
9021,great_pret,proper,completed,more,convenient,convenient,slightly_prob,recommended,priority
11826,great_pret,critical,incomplete,more,convenient,convenient,nonprob,recommended,priority
7850,pretentious,very_crit,complete,2,less_conv,convenient,nonprob,not_recom,not_recom
9951,great_pret,less_proper,incomplete,1,convenient,inconv,problematic,recommended,priority
1006,usual,less_proper,complete,3,less_conv,inconv,problematic,priority,priority
5796,pretentious,less_proper,incomplete,more,less_conv,convenient,nonprob,recommended,priority
3024,usual,critical,incomplete,1,convenient,convenient,nonprob,recommended,priority
1842,usual,improper,complete,3,convenient,convenient,problematic,recommended,priority
8464,pretentious,very_crit,foster,1,critical,convenient,slightly_prob,priority,spec_prior
9809,great_pret,less_proper,completed,2,less_conv,inconv,problematic,not_recom,not_recom
2998,usual,critical,completed,more,less_conv,inconv,nonprob,priority,spec_prior
10807,great_pret,improper,incomplete,1,convenient,convenient,problematic,priority,spec_prior
5135,pretentious,proper,foster,more,convenient,convenient,slightly_prob,not_recom,not_recom
8585,pretentious,very_crit,foster,3,critical,inconv,problematic,not_recom,not_recom
5053,pretentious,proper,foster,2,less_conv,inconv,slightly_prob,priority,priority
5874,pretentious,less_proper,foster,1,critical,convenient,problematic,recommended,priority
3643,usual,very_crit,complete,more,less_conv,convenient,problematic,priority,spec_prior
11329,great_pret,critical,complete,2,critical,convenient,problematic,priority,spec_prior
9895,great_pret,less_proper,completed,more,convenient,inconv,slightly_prob,priority,spec_prior
6001,pretentious,less_proper,foster,more,convenient,convenient,problematic,priority,priority
5727,pretentious,less_proper,incomplete,3,convenient,convenient,slightly_prob,recommended,very_recom
6965,pretentious,critical,complete,1,critical,inconv,problematic,not_recom,not_recom
9307,great_pret,proper,foster,1,less_conv,convenient,nonprob,priority,spec_prior
2002,usual,improper,completed,2,convenient,convenient,slightly_prob,priority,priority
1967,usual,improper,completed,1,less_conv,convenient,slightly_prob,not_recom,not_recom
3713,usual,very_crit,completed,1,critical,convenient,slightly_prob,not_recom,not_recom
4775,pretentious,proper,incomplete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
1723,usual,less_proper,foster,more,critical,inconv,slightly_prob,priority,priority
561,usual,proper,incomplete,3,less_conv,convenient,slightly_prob,recommended,priority
8249,pretentious,very_crit,incomplete,1,critical,convenient,slightly_prob,not_recom,not_recom
2131,usual,improper,completed,more,less_conv,convenient,problematic,priority,priority
524,usual,proper,incomplete,2,critical,convenient,nonprob,not_recom,not_recom
4381,pretentious,proper,complete,2,convenient,convenient,problematic,priority,priority
8993,great_pret,proper,completed,3,less_conv,inconv,nonprob,not_recom,not_recom
8195,pretentious,very_crit,completed,more,critical,convenient,slightly_prob,not_recom,not_recom
12864,great_pret,very_crit,foster,3,convenient,inconv,slightly_prob,recommended,spec_prior
2871,usual,critical,completed,2,convenient,inconv,nonprob,recommended,priority
1491,usual,less_proper,incomplete,more,less_conv,inconv,problematic,recommended,priority
8170,pretentious,very_crit,completed,more,convenient,inconv,problematic,priority,spec_prior
7557,pretentious,critical,incomplete,more,critical,inconv,problematic,recommended,spec_prior
4466,pretentious,proper,complete,3,critical,convenient,nonprob,not_recom,not_recom
5559,pretentious,less_proper,completed,3,critical,inconv,problematic,recommended,priority
11836,great_pret,critical,incomplete,more,convenient,inconv,nonprob,priority,spec_prior
7875,pretentious,very_crit,complete,2,critical,inconv,nonprob,recommended,spec_prior
4445,pretentious,proper,complete,3,convenient,inconv,problematic,not_recom,not_recom
2194,usual,improper,incomplete,1,less_conv,inconv,problematic,priority,priority
5617,pretentious,less_proper,incomplete,1,convenient,convenient,nonprob,priority,priority
11702,great_pret,critical,incomplete,1,critical,convenient,nonprob,not_recom,not_recom
10113,great_pret,less_proper,incomplete,more,convenient,inconv,problematic,recommended,spec_prior
4628,pretentious,proper,completed,2,critical,convenient,nonprob,not_recom,not_recom
2928,usual,critical,completed,3,convenient,inconv,slightly_prob,recommended,priority
7601,pretentious,critical,foster,1,critical,convenient,slightly_prob,not_recom,not_recom
10024,great_pret,less_proper,incomplete,2,less_conv,inconv,problematic,priority,spec_prior
11106,great_pret,improper,foster,2,critical,convenient,nonprob,recommended,spec_prior
8893,great_pret,proper,completed,1,critical,convenient,nonprob,priority,spec_prior
519,usual,proper,incomplete,2,less_conv,inconv,problematic,recommended,priority
2641,usual,critical,complete,1,critical,inconv,slightly_prob,priority,priority
9547,great_pret,less_proper,complete,1,critical,convenient,problematic,priority,priority
12717,great_pret,very_crit,incomplete,more,less_conv,inconv,nonprob,recommended,spec_prior
6302,pretentious,improper,completed,1,critical,convenient,nonprob,not_recom,not_recom
12016,great_pret,critical,foster,3,less_conv,inconv,nonprob,priority,spec_prior
4097,usual,very_crit,incomplete,more,critical,inconv,nonprob,not_recom,not_recom
9082,great_pret,proper,incomplete,1,convenient,inconv,nonprob,priority,priority
11136,great_pret,improper,foster,3,convenient,inconv,slightly_prob,recommended,spec_prior
9899,great_pret,less_proper,completed,more,convenient,inconv,problematic,not_recom,not_recom
354,usual,proper,completed,3,less_conv,inconv,slightly_prob,recommended,priority
7385,pretentious,critical,incomplete,1,critical,convenient,slightly_prob,not_recom,not_recom
5243,pretentious,less_proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
3676,usual,very_crit,completed,1,convenient,convenient,slightly_prob,priority,spec_prior
10885,great_pret,improper,incomplete,2,less_conv,inconv,slightly_prob,priority,spec_prior
12597,great_pret,very_crit,incomplete,2,convenient,inconv,problematic,recommended,spec_prior
3898,usual,very_crit,incomplete,1,convenient,inconv,nonprob,priority,spec_prior
5072,pretentious,proper,foster,2,critical,inconv,slightly_prob,not_recom,not_recom
3356,usual,critical,foster,3,convenient,convenient,problematic,not_recom,not_recom
8182,pretentious,very_crit,completed,more,less_conv,inconv,nonprob,priority,spec_prior
12544,great_pret,very_crit,incomplete,1,convenient,inconv,problematic,priority,spec_prior
1153,usual,less_proper,completed,2,less_conv,convenient,nonprob,priority,priority
6640,pretentious,improper,incomplete,3,critical,inconv,problematic,priority,spec_prior
2523,usual,improper,foster,3,critical,convenient,slightly_prob,recommended,priority
8786,great_pret,proper,complete,3,critical,convenient,nonprob,not_recom,not_recom
5801,pretentious,less_proper,incomplete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
10550,great_pret,improper,complete,more,less_conv,convenient,nonprob,not_recom,not_recom
8481,pretentious,very_crit,foster,2,convenient,convenient,slightly_prob,recommended,priority
5494,pretentious,less_proper,completed,2,critical,convenient,slightly_prob,priority,priority
2328,usual,improper,incomplete,more,convenient,convenient,problematic,recommended,priority
2594,usual,critical,complete,1,convenient,convenient,nonprob,not_recom,not_recom
4370,pretentious,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
1379,usual,less_proper,incomplete,2,less_conv,inconv,nonprob,not_recom,not_recom
4012,usual,very_crit,incomplete,3,convenient,inconv,problematic,priority,spec_prior
12274,great_pret,very_crit,complete,more,convenient,inconv,problematic,priority,spec_prior
10621,great_pret,improper,completed,1,critical,convenient,nonprob,priority,spec_prior
646,usual,proper,incomplete,more,critical,inconv,problematic,priority,priority
3327,usual,critical,foster,2,less_conv,inconv,problematic,recommended,spec_prior
12599,great_pret,very_crit,incomplete,2,convenient,inconv,problematic,not_recom,not_recom
3391,usual,critical,foster,3,critical,convenient,problematic,priority,spec_prior
508,usual,proper,incomplete,2,less_conv,convenient,slightly_prob,priority,priority
